id,name,stock_level,unit_type,prescription_required,price,dosage_info,category,safety_notes
1,Paracetamol 500mg,150,tablets,false,5.99,Take 1-2 tablets every 4-6 hours,Pain Relief,Do not exceed 4g daily. Avoid with alcohol.
2,Amoxicillin 250mg,80,capsules,true,12.50,Take 1 capsule 3 times daily,Antibiotics,Complete full course. May cause allergic reactions.
3,Metformin 500mg,200,tablets,true,8.99,Take 1 tablet twice daily with meals,Diabetes,Take with food to reduce GI side effects.
4,Ibuprofen 400mg,120,tablets,false,6.50,Take 1 tablet every 6-8 hours,Pain Relief,Take with food. Avoid if asthmatic.
5,Lisinopril 10mg,95,tablets,true,15.00,Take 1 tablet once daily,Blood Pressure,May cause dry cough. Monitor potassium levels.
6,Omeprazole 20mg,180,capsules,false,9.99,Take 1 capsule daily before breakfast,Digestive Health,Long-term use may affect B12 absorption.
7,Cetirizine 10mg,250,tablets,false,4.99,Take 1 tablet daily,Allergy,May cause drowsiness in some individuals.
8,Azithromycin 500mg,15,tablets,true,22.50,Take 1 tablet daily for 3-5 days,Antibiotics,Complete full course. Take on empty stomach.
9,Amlodipine 5mg,160,tablets,true,11.00,Take 1 tablet once daily,Blood Pressure,May cause ankle swelling.
10,Losartan 50mg,130,tablets,true,13.50,Take 1 tablet once daily,Blood Pressure,Monitor kidney function regularly.
11,Pantoprazole 40mg,90,tablets,true,14.99,Take 1 tablet daily before meals,Digestive Health,Long-term use requires monitoring.
12,Vitamin D3 1000IU,300,softgels,false,7.99,Take 1 softgel daily,Vitamins,Take with fatty meal for better absorption.
13,Aspirin 81mg,400,tablets,false,3.99,Take 1 tablet daily,Pain Relief,Do not use with blood thinners without consulting doctor.
14,Atorvastatin 20mg,75,tablets,true,18.00,Take 1 tablet daily at bedtime,Cholesterol,May cause muscle pain. Report any unusual symptoms.
15,Gabapentin 300mg,60,capsules,true,24.99,Take 1 capsule 3 times daily,Neurological,Do not stop abruptly. May cause dizziness.
16,Benadryl 25mg,180,tablets,false,6.99,Take 1-2 tablets every 6 hours,Allergy,May cause significant drowsiness.
17,Cough Syrup 100ml,95,bottles,false,8.50,Take 10ml every 6-8 hours,Cold & Flu,Do not use with other cough medicines.
18,Nasal Decongestant,120,spray,false,7.25,2-3 sprays per nostril twice daily,Cold & Flu,Do not use for more than 3 consecutive days.
19,Insulin Glargine,25,vials,true,85.00,Inject as prescribed by physician,Diabetes,Refrigerate. Never share needles.
20,Metoprolol 50mg,140,tablets,true,12.00,Take 1 tablet twice daily,Blood Pressure,Do not stop suddenly. May mask hypoglycemia.
